papers,HYPOTHESIS
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f6c8e49de149c1d7791cd30cc534390f9d6dc66b.summary'],Does the metabolic utilization of propanediol by adherent-invasive E. coli modulate the immunosuppressive effects of exosomes from mesenchymal stromal cells in gut-associated lymphoid tissues?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b9f34a55b5c743b9df1bcce0212bf000048f7cc7.summary'],"Does the co-expression of VWF and TIM3 on CML stem cells also confer resistance to immunotherapy, and can targeting these markers enhance the efficacy of immunotherapeutic approaches in CML treatment?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/25e489518c4629fb96cce4dad6d694131d993681.summary'],"Does the asymmetric association of mIgM domains in the transmembrane region influence the recruitment of specific lipid species to the lipid rafts, thereby modulating B-cell activation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/31f2b1ca21d4e8847cc2bbcc8dfe1d7517002449.summary'],Does the combined inhibition of HDAC and glutathione synthesis in OxPhos-DLBCL cells lead to a synergistic increase in pracinostat-induced apoptosis?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3fe5c82fcab21ef67d1435ed4c47dc1043bf4399.summary'],Does the novel adapter protein interact with actin to facilitate the non-canonical signaling pathway of Siglec-8-induced eosinophil death?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d22e4d7ed72d8882467b29b438aa47ebe28c91de.summary'],"Does iosH2-mediated inhibition of LILRB1/2 and KIR3DL1 receptors also enhance the activity of cancer-specific natural killer cells, leading to improved anti-tumor responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/09f208af3b15feaff711ee8d7e56e354b904e913.summary'],Do environmental toxins that alter DNA methylation patterns in the NLRP3 gene contribute to the development of juvenile spondyloarthritis in individuals with a family history of rheumatic diseases?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0050112ccaba6d4fe6152aeb17e417f6df3c5dc8.summary'],Can the antitumor activity of EC17 CAR-T cell therapy be further enhanced by combining it with a folate-targeting nanoparticle delivery system to increase the local concentration of EC17 at the tumor site?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/017a4a30cf9831168c1ac27fdc137a6637d44fd5.summary'],"Can the simultaneous administration of TT-117 and TT-140 monoclonal antibodies exhibit a synergistic effect in preventing TeNT internalization in primary rat spinal cord neurons, resulting in enhanced neuroprotection compared to individual antibody treatment?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9f06a16c672a5b83b57ff45ea44336a491436087.summary'],Does the presence of antibodies against specific self-epitopes in patients with metastatic triple negative breast cancer prior to immunotherapy treatment predict a more favorable response to subsequent treatment with cyclophosphamide and pembrolizumab?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1c6618274b4834505fafb23d7f6ef0aabfa9137b.summary'],"Do CXCL13+CD4+ T cells in skin TLSs of pemphigus patients also regulate Treg function through a feedback loop, thereby modulating the chronic blister microenvironment?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c76f19ba3af326e01be9da917f522cf03f118445.summary'],"Does the modulation of the host immune response by T. cruzi during acute infection involve the upregulation of host antioxidant defenses, thereby creating a self-reinforcing cycle that enhances parasite survival and immune evasion?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/61c30ee3a8d7b1bb50aaff60c22d96ec87082d6c.summary'],Can the combination of Quisinostat and SynNotch CAR T cells enhance the radiosensitization of glioblastoma cells by increasing the expression of CNS-specific antigens?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ced1beaca444367c59a5abc7bcbdd224d3285c7e.summary'],Can specific microRNAs that regulate epigenetic modifiers be used to selectively target and revert the epigenetic reprogramming of cancer stem cells in leukemia and hepatocellular carcinoma?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/046ce133b41bce5cad6473e2c0926816f464c702.summary'],"Does the combination of the three-gene signature (BTLA, BUB1B, and CENPE) with tumour mutation burden predict the response of EGFR-mutant lung adenocarcinoma patients to immune checkpoint inhibitors?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1bc2406a30100949b4f42d156ed6d9b4c5303b61.summary'],Can the analysis of intraclonal diversities using ViCloD identify specific clonal lineages that are predictive of treatment response to immunotherapy in B-cell tumors?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/93d69d8888e0eee71eca845b0161f3114b9348d2.summary'],Does the inhibition of STAT3 signaling in CD21low B cells also prevent the development of autoimmune diseases in individuals with a family history of autoimmune disorders?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5ce25a5481de9188443bb0bb46b0ffadcbd93cd8.summary'],Can Echidna-simulated immune receptor repertoires be used to predict the efficacy of personalized neoantigen-based cancer vaccines in individual patients?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/023016320699cddf648671adc5d8d4184f7e5c71.summary'],"Does daratumumab treatment also modulate the expression of CD38 on non-immune cells, such as cancer stem cells, contributing to its anti-myeloma activity?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/a41ce343a63021072c2b7e3d2d704db9ea3973b3.summary'],"Does the MHCII-associated invariant chain also regulate the trafficking and signaling of other Toll-like receptors in B cells, such as TLR9, through modulation of the ESCRT machinery?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2c257c01d0cab1e018da53b5074b7537ee7fd99d.summary'],"Does the presence of oxidation-specific epitopes on lung fibroblasts modulate the expression of CXCR4, thereby influencing the homing of B-1 cells and subsequent IgM production, ultimately affecting the progression of lung fibrosis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ed2f4fca5cb85bc6173c81f0d5ed345083d36df8.summary'],"Does Hrd1-mediated ubiquitination of pre-BCR also regulate the expression of other key transcription factors involved in B cell development, such as Pax5 or E2A, to ensure proper B cell maturation and function?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d3ba02ef0c967d28efa1d7b1b87eec3346a189d9.summary'],Can carbamylated self-proteins in RA synovial tissue induce a regulatory T cell response that mitigates autoreactive B-cell responses against PTM self proteins?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/018bb969013f3799a0193a78c4ee62562b795a20.summary'],Does the combination of belimumab and antimalarial drugs have a synergistic effect in reducing cardiovascular risk and improving endothelial function in SLE patients?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/48c3ab1dc3c511c1851f6ace5c0c09b5a7dc8fa8.summary'],"Does PC-PLC inhibition also reduce the expression of other oncogenic receptors, such as EGFR, in HER2-positive ovarian cancer cells, leading to a broader anti-tumor effect?"
